,url,publication_dt,byline,book_title,book_author,summary,uuid,uri,isbn13
52,http://www.nytimes.com/2000/10/08/books/making-it.html,2000-10-08,FREDERICK BUSCH,On Writing:  a Memoir of the Craft,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,"['9780606222549', '9780606231862', '9780671024253', '9780684853529', '9780743204361', '9780743211536', '9780743455961', '9780743563376', '9781416549864', '9781417647019', '9781439156810', '9781439193631', '9781441658869', '9781444723250', '9781848941083', '9781931208048']"
53,http://www.nytimes.com/2001/03/15/books/books-of-the-times-a-fateful-step-off-a-curb-and-into-alien-territory.html,2001-03-15,JANET MASLIN,Dreamcatcher,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780743211383']
54,http://www.nytimes.com/2001/04/15/books/weasel-from-another-planet.html,2001-04-15,COLIN HARRISON,Dreamcatcher,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780743211383']
55,http://www.nytimes.com/2002/09/23/books/books-of-the-times-cruising-the-dark-side-forget-about-seat-belts.html,2002-09-23,JANET MASLIN,From a Buick 8,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780743211376']
56,http://www.nytimes.com/2002/09/29/books/not-your-father-s-roadmaster.html,2002-09-29,LAURA MILLER,From a Buick 8,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780743211376']
57,http://www.nytimes.com/2004/06/20/books/books-in-brief-fiction-937851.html,2004-06-20,BEN SISARIO,The Dark Tower VI,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9781880418598']
58,http://www.nytimes.com/2006/01/23/books/23masl.html,2006-01-23,JANET MASLIN,Cell,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780743292337']
59,http://www.nytimes.com/2006/02/05/books/review/05itzkoff.html,2006-02-05,DAVE ITZKOFF,Cell,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780743292337']
60,http://www.nytimes.com/2015/05/31/books/review/stephen-kings-finders-keepers.html,2015-05-31,LAURA LIPPMAN,Finders Keepers,Stephen King,"Laura Lippman reviews Stephen King’s “Finders Keepers,” the second entry in a planned trilogy that began with “Mr. Mercedes.”",00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,"['9781410479501', '9781442384347', '9781501100079', '9781501100123', '9781501100130', '9781594138522']"
61,http://www.nytimes.com/2016/06/12/books/review/stephen-kings-end-of-watch.html,2016-06-12,DENISE MINA,End of Watch,Stephen King,A retired police detective sees the return of his nemesis in this suspense story with a supernatural twist.,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,"['9781410489906', '9781501129742', '9781501134142', '9781501134159', '9781508211358']"
62,https://www.nytimes.com/2018/05/22/books/review/outsider-stephen-king.html,2018-05-22,VICTOR LAVALLE,The Outsider,Stephen King,“The Outsider” starts out as a routine police procedural but before long transforms into something much more sinister.,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9781501180989']
63,https://www.nytimes.com/2018/10/26/books/review/stephen-king-elevation.html,2018-10-26,GILBERT CRUZ,Elevation,Stephen King,"King’s slim new novel, “Elevation,” returns us to Castle Rock, where prejudice drives a plot that blends the fantastical with the mundane.",00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9781982102319']
64,https://www.nytimes.com/2019/09/08/books/review-institute-stephen-king.html,2019-09-08,DWIGHT GARNER,The Institute,Stephen King,"In his latest, King tells the story of an institution where children with special powers are cultivated — but that’s just where the nightmare begins.",00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9781982110567']
65,https://www.nytimes.com/2019/09/10/books/review/stephen-king-the-institute.html,2019-09-10,LAURA MILLER,The Institute,Stephen King,"The terror doesn’t come from ghosts or fiends or clowns — it’s ordinary people, folks just like you and me, who are the evil ones.",00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9781982110567']
