,song,artist,date,explicit,uri_cancion,popularity,usuario,links,duracion,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
27,Quién Diría,['DePol'],2024-07-18T11:05:25Z,False,spotify:track:0Fd3900xH77g0ARXQjtYvV,65,quesoymarmota,https://open.spotify.com/track/0Fd3900xH77g0ARXQjtYvV,183898,0.586,0.874,7,-2.801,0,0.0345,0.0177,3.77e-06,0.086,0.796,150.063,audio_features,0Fd3900xH77g0ARXQjtYvV,spotify:track:0Fd3900xH77g0ARXQjtYvV,https://api.spotify.com/v1/tracks/0Fd3900xH77g0ARXQjtYvV,https://api.spotify.com/v1/audio-analysis/0Fd3900xH77g0ARXQjtYvV,183898,4
28,La vida moderna (feat. Love of Lesbian),"['Veintiuno', 'Love of Lesbian']",2024-07-18T11:08:10Z,False,spotify:track:0ThmUxropRzljqKcVym0ca,56,quesoymarmota,https://open.spotify.com/track/0ThmUxropRzljqKcVym0ca,193746,0.575,0.893,9,-4.136,1,0.0761,0.134,0.0,0.136,0.804,173.881,audio_features,0ThmUxropRzljqKcVym0ca,spotify:track:0ThmUxropRzljqKcVym0ca,https://api.spotify.com/v1/tracks/0ThmUxropRzljqKcVym0ca,https://api.spotify.com/v1/audio-analysis/0ThmUxropRzljqKcVym0ca,193746,4
29,Que nada nos pare (lo más importante),"['ELYELLA', 'La La Love You']",2024-07-18T11:08:16Z,True,spotify:track:1FG7ZjnuT0O9CsDKOxND0E,62,quesoymarmota,https://open.spotify.com/track/1FG7ZjnuT0O9CsDKOxND0E,185331,0.659,0.759,11,-4.94,1,0.0395,0.00101,0.271,0.109,0.803,128.009,audio_features,1FG7ZjnuT0O9CsDKOxND0E,spotify:track:1FG7ZjnuT0O9CsDKOxND0E,https://api.spotify.com/v1/tracks/1FG7ZjnuT0O9CsDKOxND0E,https://api.spotify.com/v1/audio-analysis/1FG7ZjnuT0O9CsDKOxND0E,185332,4
30,Como el Sol,"['Tatiana Delalvz', 'NIA']",2024-07-18T11:08:29Z,False,spotify:track:6ksoOhSHFDrSkw7gVcvU34,38,e4ta60wdfnbghf4t2uk6m9xu8,https://open.spotify.com/track/6ksoOhSHFDrSkw7gVcvU34,140346,0.723,0.849,10,-3.759,0,0.0807,0.129,0.0,0.0687,0.331,99.934,audio_features,6ksoOhSHFDrSkw7gVcvU34,spotify:track:6ksoOhSHFDrSkw7gVcvU34,https://api.spotify.com/v1/tracks/6ksoOhSHFDrSkw7gVcvU34,https://api.spotify.com/v1/audio-analysis/6ksoOhSHFDrSkw7gVcvU34,140347,4
31,Yo pensaba que me había tocado Dios,"['Barry B', 'Carolina Durante']",2024-07-18T11:08:42Z,False,spotify:track:0vF9TaEJHO0Zm1ejF7AGC0,55,e4ta60wdfnbghf4t2uk6m9xu8,https://open.spotify.com/track/0vF9TaEJHO0Zm1ejF7AGC0,206099,0.498,0.72,0,-7.812,1,0.047,0.0958,2.54e-05,0.243,0.406,164.916,audio_features,0vF9TaEJHO0Zm1ejF7AGC0,spotify:track:0vF9TaEJHO0Zm1ejF7AGC0,https://api.spotify.com/v1/tracks/0vF9TaEJHO0Zm1ejF7AGC0,https://api.spotify.com/v1/audio-analysis/0vF9TaEJHO0Zm1ejF7AGC0,206100,4
32,PLASTILINA,['Farga'],2024-07-18T11:10:06Z,False,spotify:track:1Qo2UEgzEUCBco0PKzkGv3,28,e4ta60wdfnbghf4t2uk6m9xu8,https://open.spotify.com/track/1Qo2UEgzEUCBco0PKzkGv3,190545,0.595,0.908,11,-6.59,1,0.0599,0.122,1.22e-05,0.213,0.558,165.013,audio_features,1Qo2UEgzEUCBco0PKzkGv3,spotify:track:1Qo2UEgzEUCBco0PKzkGv3,https://api.spotify.com/v1/tracks/1Qo2UEgzEUCBco0PKzkGv3,https://api.spotify.com/v1/audio-analysis/1Qo2UEgzEUCBco0PKzkGv3,190545,4
33,PELO RIZAO,['Funzo & Baby Loud'],2024-07-18T11:10:24Z,False,spotify:track:47csYgBczYT8ZmX7nkOsWo,39,e4ta60wdfnbghf4t2uk6m9xu8,https://open.spotify.com/track/47csYgBczYT8ZmX7nkOsWo,194136,0.672,0.762,0,-7.007,1,0.028,0.0934,0.0,0.215,0.776,114.973,audio_features,47csYgBczYT8ZmX7nkOsWo,spotify:track:47csYgBczYT8ZmX7nkOsWo,https://api.spotify.com/v1/tracks/47csYgBczYT8ZmX7nkOsWo,https://api.spotify.com/v1/audio-analysis/47csYgBczYT8ZmX7nkOsWo,194136,4
34,Súbete la Radio,['Delaporte'],2024-07-18T11:10:42Z,False,spotify:track:3HkBjISRt7rX9LkMpIcl9u,35,e4ta60wdfnbghf4t2uk6m9xu8,https://open.spotify.com/track/3HkBjISRt7rX9LkMpIcl9u,144000,0.618,0.907,10,-8.203,0,0.135,0.00638,0.0585,0.289,0.564,139.992,audio_features,3HkBjISRt7rX9LkMpIcl9u,spotify:track:3HkBjISRt7rX9LkMpIcl9u,https://api.spotify.com/v1/tracks/3HkBjISRt7rX9LkMpIcl9u,https://api.spotify.com/v1/audio-analysis/3HkBjISRt7rX9LkMpIcl9u,144000,4
35,Te seguiré besando,['Farga'],2024-07-18T11:10:53Z,False,spotify:track:5tCsCOEZtM7G6IOV9h7bdP,41,e4ta60wdfnbghf4t2uk6m9xu8,https://open.spotify.com/track/5tCsCOEZtM7G6IOV9h7bdP,167465,0.726,0.83,6,-3.93,0,0.0509,0.25,0.0,0.0699,0.713,145.949,audio_features,5tCsCOEZtM7G6IOV9h7bdP,spotify:track:5tCsCOEZtM7G6IOV9h7bdP,https://api.spotify.com/v1/tracks/5tCsCOEZtM7G6IOV9h7bdP,https://api.spotify.com/v1/audio-analysis/5tCsCOEZtM7G6IOV9h7bdP,167466,4
36,Princesas,['Pereza'],2024-07-18T11:11:46Z,False,spotify:track:3hlWUNjAlbZ6nOjAbrivBv,66,quesoymarmota,https://open.spotify.com/track/3hlWUNjAlbZ6nOjAbrivBv,217000,0.683,0.846,7,-3.551,1,0.0422,0.0634,0.0,0.346,0.706,131.884,audio_features,3hlWUNjAlbZ6nOjAbrivBv,spotify:track:3hlWUNjAlbZ6nOjAbrivBv,https://api.spotify.com/v1/tracks/3hlWUNjAlbZ6nOjAbrivBv,https://api.spotify.com/v1/audio-analysis/3hlWUNjAlbZ6nOjAbrivBv,217000,4
37,Bailemos,['Dani Fernández'],2024-07-18T11:12:10Z,False,spotify:track:5EnaxC9amhXY55ezw87SL8,60,quesoymarmota,https://open.spotify.com/track/5EnaxC9amhXY55ezw87SL8,210468,0.649,0.555,1,-4.655,1,0.0292,0.0616,3.45e-06,0.0874,0.607,128.009,audio_features,5EnaxC9amhXY55ezw87SL8,spotify:track:5EnaxC9amhXY55ezw87SL8,https://api.spotify.com/v1/tracks/5EnaxC9amhXY55ezw87SL8,https://api.spotify.com/v1/audio-analysis/5EnaxC9amhXY55ezw87SL8,210469,4
38,Que Bonita la Vida,['Dani Martín'],2024-07-18T11:12:31Z,False,spotify:track:2WWLoX6L5TJ2xvm2DRcK6B,52,quesoymarmota,https://open.spotify.com/track/2WWLoX6L5TJ2xvm2DRcK6B,270653,0.506,0.535,7,-5.676,1,0.0314,0.301,5.08e-06,0.1,0.286,134.075,audio_features,2WWLoX6L5TJ2xvm2DRcK6B,spotify:track:2WWLoX6L5TJ2xvm2DRcK6B,https://api.spotify.com/v1/tracks/2WWLoX6L5TJ2xvm2DRcK6B,https://api.spotify.com/v1/audio-analysis/2WWLoX6L5TJ2xvm2DRcK6B,270653,4
39,Color Esperanza,['Diego Torres'],2024-07-18T11:12:57Z,False,spotify:track:3T07pNAEVr9adeIG9i1ex4,66,quesoymarmota,https://open.spotify.com/track/3T07pNAEVr9adeIG9i1ex4,267106,0.619,0.876,7,-6.253,1,0.0538,0.342,0.0,0.0828,0.772,100.962,audio_features,3T07pNAEVr9adeIG9i1ex4,spotify:track:3T07pNAEVr9adeIG9i1ex4,https://api.spotify.com/v1/tracks/3T07pNAEVr9adeIG9i1ex4,https://api.spotify.com/v1/audio-analysis/3T07pNAEVr9adeIG9i1ex4,267107,4
40,Bye Bye Bye,['No Resolve'],2024-07-18T11:13:38Z,False,spotify:track:2RdPXHHybIcO8VdIy38WMo,42,31xiablrubqwh5zisnlt5utvh6uu,https://open.spotify.com/track/2RdPXHHybIcO8VdIy38WMo,203217,0.375,0.961,9,-2.713,0,0.117,0.000398,0.0,0.0436,0.477,172.444,audio_features,2RdPXHHybIcO8VdIy38WMo,spotify:track:2RdPXHHybIcO8VdIy38WMo,https://api.spotify.com/v1/tracks/2RdPXHHybIcO8VdIy38WMo,https://api.spotify.com/v1/audio-analysis/2RdPXHHybIcO8VdIy38WMo,203217,4
41,Antes Que Ver El Sol,"['Coti', 'Dani Martín']",2024-07-18T11:13:51Z,False,spotify:track:2xqNBP7kAqeZi96QISEGx4,55,quesoymarmota,https://open.spotify.com/track/2xqNBP7kAqeZi96QISEGx4,221626,0.675,0.679,9,-7.696,1,0.0309,0.0814,0.0,0.159,0.903,134.037,audio_features,2xqNBP7kAqeZi96QISEGx4,spotify:track:2xqNBP7kAqeZi96QISEGx4,https://api.spotify.com/v1/tracks/2xqNBP7kAqeZi96QISEGx4,https://api.spotify.com/v1/audio-analysis/2xqNBP7kAqeZi96QISEGx4,221627,4
42,Potra Salvaje - Hard Remix,"['Isabel Aaiún', 'Fernando Moreno']",2024-07-18T11:14:45Z,False,spotify:track:4gdpQ6zuDsePnD1YIDJCRw,79,e4ta60wdfnbghf4t2uk6m9xu8,https://open.spotify.com/track/4gdpQ6zuDsePnD1YIDJCRw,342000,0.721,0.85,6,-4.186,1,0.31,0.118,3.63e-05,0.672,0.526,75.026,audio_features,4gdpQ6zuDsePnD1YIDJCRw,spotify:track:4gdpQ6zuDsePnD1YIDJCRw,https://api.spotify.com/v1/tracks/4gdpQ6zuDsePnD1YIDJCRw,https://api.spotify.com/v1/audio-analysis/4gdpQ6zuDsePnD1YIDJCRw,342000,4
43,Rosas,['La Oreja de Van Gogh'],2024-07-18T11:14:54Z,False,spotify:track:4waqcUQWdj0yH26STWl2Rq,80,quesoymarmota,https://open.spotify.com/track/4waqcUQWdj0yH26STWl2Rq,236506,0.783,0.685,9,-5.008,1,0.0271,0.627,3.49e-06,0.108,0.54,107.01,audio_features,4waqcUQWdj0yH26STWl2Rq,spotify:track:4waqcUQWdj0yH26STWl2Rq,https://api.spotify.com/v1/tracks/4waqcUQWdj0yH26STWl2Rq,https://api.spotify.com/v1/audio-analysis/4waqcUQWdj0yH26STWl2Rq,236333,4
